County,Temperature
Jefferson Davis County,69.6
Jones County,68
Kemper County,66.9
Lafayette County,65.4
Lamar County,68.9
Lauderdale County,67
Lawrence County,70.1
Leake County,68.9
Lee County,65.4
Leflore County,70.2
Lincoln County,69.8
Lowndes County,67
Madison County,70.1
Marion County,69.7
Marshall County,64.4
Monroe County,66.1
Montgomery County,68.2
Neshoba County,67.4
Newton County,67.7
Noxubee County,66.8
Oktibbeha County,66.5
Panola County,66
Pearl River County,69.6
Perry County,68.5
Pike County,69.9
Pontotoc County,65.6
Prentiss County,64.8
Quitman County,66.8
Rankin County,70
Scott County,69
Sharkey County,70.5
Simpson County,69.9
Smith County,69
Stone County,69.2
Sunflower County,69
Tallahatchie County,68
Tate County,65.1
Tippah County,64.4
Tishomingo County,64.7
Tunica County,65.8
Union County,65
Walthall County,69.7
Warren County,70.6
Washington County,69.2
Wayne County,67.6
Webster County,66.8
Wilkinson County,70.1
Winston County,66.8
Yalobusha County,66.7
Yazoo County,70.8
Adair County,54.4
Andrew County,55.2
Atchison County,53.7
Audrain County,55.5
Barry County,58.6
Barton County,58
Bates County,57.2
Benton County,57.2
Bollinger County,58.6
Boone County,56.8
Buchanan County,55.5
Butler County,60.8
Caldwell County,54.5
Callaway County,57.2
Camden County,58.1
Cape Girardeau County,59
Carroll County,55.4
Carter County,59.1
Cass County,57.1
Cedar County,58.3
Chariton County,56.1
Christian County,57.9
Clark County,54
Clay County,56.4
Clinton County,55
Cole County,58.3
Cooper County,57.1
Crawford County,57.6
Dade County,58.3
Dallas County,57.6
Daviess County,54.5
DeKalb County,54.9
Dent County,57.7
Douglas County,58.7
Dunklin County,63
Franklin County,57.2
Gasconade County,57.4
Gentry County,54.6
Greene County,57.8
Grundy County,54.4
Harrison County,53.7
Henry County,57.3
Hickory County,57.6
Holt County,55
Howard County,56.6
Howell County,59.8
Iron County,57.4
Jackson County,57
Jasper County,58.8
Jefferson County,57.8
Johnson County,56.9
Knox County,54.5
Laclede County,57.7
Lafayette County,56.4
Lawrence County,58
Lewis County,54.7
Lincoln County,56.1
Linn County,55
Livingston County,54.8
McDonald County,60
Macon County,55.8
Madison County,57.5
Maries County,58.2
Marion County,55.3
Mercer County,53.3
Miller County,58.4
Mississippi County,60.8
Moniteau County,57.8
Monroe County,55.6
Montgomery County,56.2
Morgan County,57.3
New Madrid County,61.5
Newton County,59.6
Nodaway County,54.2
Oregon County,59.9
Osage County,58.2
Ozark County,59.5
Pemiscot County,63.8
Perry County,57.7
Pettis County,56.8
Phelps County,58.2
Pike County,55.5
Platte County,56.4
Polk County,58
Pulaski County,58.2
Putnam County,53.7
Ralls County,55.4
Randolph County,56.2
Ray County,55.6
Reynolds County,57.8
Ripley County,60.4
St. Charles County,57
St. Clair County,58
Ste. Genevieve County,57.4
St. Francois County,57.3
St. Louis County,57.6
Saline County,56.4
Schuyler County,53.8
Scotland County,53.6
Scott County,60.2
Shannon County,58.8
Shelby County,55.2
Stoddard County,60.3
Stone County,58.8
Sullivan County,54.1
Taney County,59.4
Texas County,58.6
Vernon County,57.9
Warren County,56.4
Washington County,57.6
Wayne County,58.7
Webster County,57.1
Worth County,53.6
Wright County,57.7
St. Louis City,58.1
Beaverhead County,37.1
Big Horn County,43.8
Blaine County,43.4
Broadwater County,41.7
Carbon County,41.4
Carter County,43.8
Cascade County,42.2
Chouteau County,44
Custer County,45.3
Daniels County,43
Dawson County,44
Deer Lodge County,36.2
Fallon County,43.5
Fergus County,42.7
Flathead County,39.7
Gallatin County,38.7
Garfield County,45.3
Glacier County,39.2
Golden Valley County,42.6
Granite County,38.3
Hill County,43
Jefferson County,39.3
Judith Basin County,39.5
Lake County,43.8
Lewis and Clark County,39.7
Liberty County,42.9
Lincoln County,42.1
McCone County,45.4
Madison County,38.7
Meagher County,38.2
Mineral County,41.2
Missoula County,40.8
Musselshell County,44.5
Park County,37.3
Petroleum County,45.6
Phillips County,44.8
Pondera County,41.9
Powder River County,44.3
Powell County,38.5
Prairie County,45
Ravalli County,40.1
Richland County,44.4
Roosevelt County,44.7
Rosebud County,44.4
Sanders County,42.6
Sheridan County,43.2
Silver Bow County,37.5
Stillwater County,42
Sweet Grass County,40.3
Teton County,41.2
Toole County,42.8
Treasure County,44.9
Valley County,44.3
Wheatland County,40.8
Wibaux County,43.5
Yellowstone County,45.5
Adams County,51.8
Antelope County,49.1
Arthur County,48
Banner County,45.9
Blaine County,48.7
Boone County,49.7
Box Butte County,45.4
Boyd County,48
Brown County,48.1
Buffalo County,50.9
Burt County,51.1
Butler County,52
Cass County,53.2
Cedar County,49.1
Chase County,50.7
Cherry County,47
Cheyenne County,46.4
Clay County,52
Colfax County,50.9
Cuming County,50
Custer County,48.8
Dakota County,49.9
Dawes County,46.3
Dawson County,50
Deuel County,48.5
Dixon County,49.4
Dodge County,51.3
Douglas County,52.7
Dundy County,51.4
Fillmore County,52.5
Franklin County,52.5
Frontier County,51
Furnas County,52.2
Gage County,53.4
Garden County,47.1
Garfield County,48.3
Gosper County,50.9
Grant County,46.8
Greeley County,49.2
Hall County,51.3
Hamilton County,51.8
Harlan County,52.8
Hayes County,51
Hitchcock County,51.9
Holt County,47.7
Hooker County,47.8
Howard County,50.5
Jefferson County,53.7
Johnson County,52.9
Kearney County,51.6
Keith County,49.9
Keya Paha County,47.7
Kimball County,45.1
Knox County,48.7
Lancaster County,53
Lincoln County,49.5
Logan County,48.7
Loup County,48.2
McPherson County,48.3
Madison County,49.8
Merrick County,51.7
Morrill County,46.8
Nance County,51.1
Nemaha County,53.2
Nuckolls County,52.8
Otoe County,53.1
Pawnee County,53.7
Perkins County,50.1
Phelps County,51.5
Pierce County,49.2
Platte County,50.9
Polk County,52.4
Red Willow County,52.1
Richardson County,54.3
Rock County,47.6
Saline County,52.7
Sarpy County,53
Saunders County,52.4
Scotts Bluff County,47.2
Seward County,52.4
Sheridan County,45.6
Sherman County,49.9
Sioux County,44.6
Stanton County,49.8
Thayer County,53.2
Thomas County,48.7
Thurston County,49.9
Valley County,48.8
Washington County,52
Wayne County,49.2
Webster County,52.5
Wheeler County,48.7
York County,52.4
Churchill County,49
Clark County,63.2
Douglas County,47.1
Elko County,43.2
Esmeralda County,51.7
Eureka County,44.5
Humboldt County,47.6
Lander County,45.4
Lincoln County,53.9
Lyon County,50.1
Mineral County,48.8
Nye County,50.6
Pershing County,48
Storey County,48.7
Washoe County,47.7
White Pine County,44.1
Carson City,48.4
Belknap County,45.2
Carroll County,43.8
Cheshire County,45.1
Coos County,39.2
Grafton County,42.1
Hillsborough County,47.2
Merrimack County,45.8
Rockingham County,47.5
Strafford County,46.2
Sullivan County,44.1
Atlantic County,54.3
Bergen County,53.4
Burlington County,54.2
Camden County,54.8
Cape May County,54.6
Cumberland County,55.1
Essex County,53.7
Gloucester County,55.4
Hudson County,54.7
Hunterdon County,51.8
Mercer County,53.6
Middlesex County,54.2
Monmouth County,53.7
Morris County,51.4
Ocean County,53.3
Passaic County,51.8
Salem County,55.5
Somerset County,53.1
Sussex County,49.9
Union County,54.2
Warren County,50.2
Bernalillo County,53.8
Catron County,46.2
Chaves County,61.8
Cibola County,47.6
Colfax County,45.9
Curry County,57.6
De Baca County,58.8
Dona Ana County,62.1
Eddy County,64.8
Grant County,55.2
Guadalupe County,54.9
Harding County,53.4
Hidalgo County,60.3
Lea County,63.9
Lincoln County,56.3
Los Alamos County,45.8
Luna County,61.7
McKinley County,47.2
Mora County,46.2
Otero County,59.9
Quay County,57.3
Rio Arriba County,44.8
Roosevelt County,59
Sandoval County,49.4
San Juan County,50.8
San Miguel County,51.2
Santa Fe County,48.3
Sierra County,57.9
Socorro County,54.9
Taos County,41.8
Torrance County,51.1
Union County,51.2
Valencia County,56.4
Albany County,47.5
Allegany County,46.5
Bronx County,54.3
Broome County,45.7
Cattaraugus County,46
Cayuga County,45.5
Chautauqua County,46.6
Chemung County,46.7
Chenango County,44.1
Clinton County,42.8
Columbia County,48.9
Cortland County,43.9
Delaware County,43.8
Dutchess County,50.4
Erie County,46.8
Essex County,40.4
Franklin County,41
Fulton County,44.4
Genesee County,46.6
Greene County,46.2
Hamilton County,39.9
Herkimer County,41.7
Jefferson County,44.4
Kings County,54.5
Lewis County,41.8
Livingston County,47.4
Madison County,44
Monroe County,47
Montgomery County,46.4
Nassau County,53.4
New York County,54.6
Niagara County,46.8
Oneida County,43.9
Onondaga County,45.1
Ontario County,46.8
Orange County,49.9
Orleans County,46.4
Oswego County,44.6
Otsego County,43.5
Putnam County,50.9
Queens County,54.1
Rensselaer County,47
Richmond County,54.7
Rockland County,52.3
St. Lawrence County,43.3
Saratoga County,46.4
Schenectady County,47.1
Schoharie County,44.9
Schuyler County,46.2
Seneca County,46.7
Steuben County,46.3
Suffolk County,51.5
Sullivan County,46.2
Tioga County,46.2
Tompkins County,46
Ulster County,47.6
Warren County,43.2
Washington County,46
Wayne County,46.5
Westchester County,52.6
Wyoming County,45.8
Yates County,46.7
Alamance County,63
Alexander County,61.7
Alleghany County,55.4
Anson County,65.7
Ashe County,54.2
Avery County,52.6
Beaufort County,65.5
Bertie County,63.8
Bladen County,65.7
Brunswick County,65
Buncombe County,58.1
Burke County,60.9
Cabarrus County,63
Caldwell County,60.4
Camden County,63.3
Carteret County,66.2
Caswell County,62.4
Catawba County,62.6
Chatham County,64.2
Cherokee County,59.3
Chowan County,64.3
Clay County,58.4
Cleveland County,62.5
Columbus County,65.5
Craven County,65.7
Cumberland County,65.9
Currituck County,63.2
Dare County,64.2
Davidson County,62.3
Davie County,61.8
Duplin County,65.3
Durham County,64
Edgecombe County,64.1
Forsyth County,61.9
Franklin County,63.3
Gaston County,64
Gates County,62.9
Graham County,57.5
Granville County,62.7
Greene County,65
Guilford County,62.7
Halifax County,62.8
Harnett County,65.4
Haywood County,54.7
Henderson County,58.5
Hertford County,62.9
Hoke County,65.7
Hyde County,65.3
Iredell County,62.3
Jackson County,55.8
Johnston County,65.4
Jones County,65.4
Lee County,64.8
Lenoir County,65
Lincoln County,63
McDowell County,60.8
Macon County,57.2
Madison County,59
Martin County,64.2
Mecklenburg County,64.4
Mitchell County,55
Montgomery County,64.1
Moore County,65
Nash County,64
New Hanover County,65.2
Northampton County,62.4
Onslow County,65.8
Orange County,63.1
Pamlico County,66.3
Pasquotank County,63.7
Pender County,65.4
Perquimans County,64
Person County,62.2
Pitt County,64.7
Polk County,61.5
Randolph County,63.4
Richmond County,66
Robeson County,66.1
Rockingham County,62.3
Rowan County,62
Rutherford County,62
Sampson County,65.5
Scotland County,66.4
Stanly County,63.6
Stokes County,61.1
Surry County,59.9
Swain County,55.4
Transylvania County,57.7
Tyrrell County,64.8
Union County,65.1
Vance County,62.2
Wake County,64.9
Warren County,62.2
Washington County,64.7
Watauga County,53.8
Wayne County,65.4
Wilkes County,60.2
Wilson County,65.2
Yadkin County,60.9
Yancey County,55.6
Adams County,43.2
Barnes County,41.3
Benson County,40.4
Billings County,43.1
Bottineau County,41.2
Bowman County,43.2
Burke County,40.8
Burleigh County,42
Cass County,41.9
Cavalier County,38.6
Dickey County,41.8
Divide County,41.4
Dunn County,42.6
Eddy County,41
Emmons County,42.5
Foster County,41.5
Golden Valley County,43.3
Grand Forks County,41.6
Grant County,43.7
Griggs County,40.5
Hettinger County,43.1
Kidder County,40.7
LaMoure County,41.7
Logan County,41
McHenry County,41.7
McIntosh County,41.6
McKenzie County,42.6
McLean County,42
Mercer County,42.9
Morton County,43.5
Mountrail County,41.3
Nelson County,39.9
Oliver County,43.3
Pembina County,40.6
Pierce County,40.5
Ramsey County,39.9
Ransom County,41.4
Renville County,41.7
Richland County,43.1
Rolette County,39
Sargent County,41.8
Sheridan County,41.3
Sioux County,43.3
Slope County,43.3
Stark County,43
Steele County,40
Stutsman County,41.6
Towner County,39
Traill County,41.2
Walsh County,40.8
Ward County,41.6
Wells County,40.9
Williams County,42.1
Adams County,54.4
Allen County,51
Ashland County,50.1
Ashtabula County,48.2
Athens County,54.4
Auglaize County,50.8
Belmont County,51.7
Brown County,54.3
Butler County,55
Carroll County,50.7
Champaign County,50.9
Clark County,52.3
Clermont County,55.4
Clinton County,52.9
Columbiana County,49.8
Coshocton County,53.1
Crawford County,50.7
Cuyahoga County,49.6
Darke County,52.1
Defiance County,50.6
Delaware County,52.9
Erie County,49.7
Fairfield County,53.4
Fayette County,52.4
Franklin County,54.1
Fulton County,50.5
Gallia County,54.2
Geauga County,47.9
Greene County,53
Guernsey County,53.6
Hamilton County,56
Hancock County,51.5
Hardin County,50.7
Harrison County,51.2
Henry County,51.3
Highland County,53.1
Hocking County,53.4
Holmes County,51.6
Huron County,49.9
Jackson County,54.2
Jefferson County,50.5
Knox County,51.2
Lake County,48.2
Lawrence County,55.4
Licking County,52.8
Logan County,50.3
Lorain County,49.6
Lucas County,51.6
Madison County,52.9
Mahoning County,49.3
Marion County,51.6
Medina County,50
Meigs County,54.3
Mercer County,51.2
Miami County,52.7
Monroe County,53.2
Montgomery County,54.2
Morgan County,54.4
Morrow County,51
Muskingum County,54.4
Noble County,54.2
Ottawa County,51.3
Paulding County,50.9
Perry County,53.4
Pickaway County,53.8
Pike County,54.6
Portage County,49.2
Preble County,53.1
Putnam County,51.4
Richland County,50.1
Ross County,54
Sandusky County,51.4
Scioto County,54.9
Seneca County,51.2
Shelby County,50.9
Stark County,50.8
Summit County,50.2
Trumbull County,48.8
Tuscarawas County,52.2
Union County,52.1
Van Wert County,50.9
Vinton County,53.8
Warren County,54.7
Washington County,55.3
Wayne County,50.7
Williams County,49.4
Wood County,52.2
Wyandot County,51.3
Adair County,61.7
Alfalfa County,59.4
Atoka County,64.2
Beaver County,58.2
Beckham County,60.7
Blaine County,60.4
Bryan County,65
Caddo County,61.7
Canadian County,61.4
Carter County,64.6
Cherokee County,61.6
Choctaw County,64.4
Cimarron County,54.4
Cleveland County,62.6
Coal County,64.2
Comanche County,62.8
Cotton County,64
Craig County,59.3
Creek County,61.5
Custer County,60.4
Delaware County,59.7
Dewey County,59.7
Ellis County,59.1
Garfield County,60.1
Garvin County,63.6
Grady County,62.4
Grant County,59.7
Greer County,62.1
Harmon County,62.4
Harper County,59
Haskell County,64
Hughes County,63.3
Jackson County,63.2
Jefferson County,64.7
Johnston County,64.5
Kay County,60.2
Kingfisher County,61.1
Kiowa County,62.3
Latimer County,63.4
Le Flore County,63.6
Lincoln County,62
Logan County,61.6
Love County,65.3
McClain County,62.8
McCurtain County,64
McIntosh County,63.5
Major County,59.9
Marshall County,65.3
Mayes County,60.3
Murray County,64
Muskogee County,63.2
Noble County,60.8
Nowata County,59.6
Okfuskee County,62.5
Oklahoma County,62.2
Okmulgee County,62.5
Osage County,60.5
Ottawa County,60.1
Pawnee County,61.3
Payne County,61.2
Pittsburg County,63.5
Pontotoc County,63.6
Pottawatomie County,62.9
Pushmataha County,63.4
Roger Mills County,59.9
Rogers County,60.8
Seminole County,63
Sequoyah County,64
Stephens County,63.5
Texas County,57.1
Tillman County,63.6
Tulsa County,61.5
Wagoner County,62
Washington County,60.2
Washita County,61.1
Woods County,59.2
Woodward County,59.3
Baker County,45.2
Benton County,51.6
Clackamas County,47.6
Clatsop County,49.8
Columbia County,50.9
Coos County,51
Crook County,44.5
Curry County,52
Deschutes County,42.9
Douglas County,49.6
Gilliam County,49.7
Grant County,43.2
Harney County,45.4
Hood River County,44.8
Jackson County,49.1
Jefferson County,46.5
Josephine County,49.8
Klamath County,43.8
Lake County,44
Lane County,48.8
Lincoln County,50.7
Linn County,48.5
Malheur County,47.2
Marion County,49.3
Morrow County,48.8
Multnomah County,51.5
Polk County,51.8
Sherman County,49.8
Tillamook County,49.4
Umatilla County,48.1
Union County,43.2
Wallowa County,42.5
Wasco County,47.7
Washington County,51.2
Wheeler County,46.2
Yamhill County,51.6
Adams County,53.8
Allegheny County,52.4
Armstrong County,50.5
Beaver County,50.8
Bedford County,52.5
Berks County,52.4
Blair County,51.5
Bradford County,46.7
Bucks County,52.8
Butler County,49.5
Cambria County,49.8
Cameron County,48.6
Carbon County,48.2
Centre County,50
Chester County,53.6
Clarion County,48.7
Clearfield County,49.6
Clinton County,49.2
Columbia County,49.6
Crawford County,47.8
Cumberland County,53.6
Dauphin County,53.3
Delaware County,55.1
Elk County,48.7
Erie County,47.4
Fayette County,50.3
Forest County,47.2
Franklin County,53.1
Fulton County,53
Greene County,52.7
Huntingdon County,52.4
Indiana County,50.4
Jefferson County,49.7
Juniata County,52.8
Lackawanna County,47.1
Lancaster County,53.4
Lawrence County,49.2
Lebanon County,52.6
Lehigh County,51.8
Luzerne County,47.8
Lycoming County,48.9
McKean County,47.2
Mercer County,48.3
Mifflin County,52
Monroe County,47.2
Montgomery County,54
Montour County,50.9
Northampton County,50.7
Northumberland County,51.5
Perry County,53.1
Philadelphia County,55
Pike County,47.1
Potter County,46.6
Schuylkill County,50.1
Snyder County,52.5
Somerset County,48.7
Sullivan County,45.2
Susquehanna County,46.4
Tioga County,46.1
Union County,51.3
Venango County,48.2
Warren County,46.4
Washington County,51.9
Wayne County,46.3
Westmoreland County,50.4
Wyoming County,47.2
York County,54.1
Bristol County,50.1
Kent County,49.3
Newport County,49.5
Providence County,49.3
Washington County,49.2
Abbeville County,66.2
Aiken County,67.6
Allendale County,67.9
Anderson County,65
Bamberg County,67.3
Barnwell County,67.7
Beaufort County,69.3
Berkeley County,67.6
Calhoun County,67.5
Charleston County,68.5
Cherokee County,63.6
Chester County,65.3
Chesterfield County,65.9
Clarendon County,67.3
Colleton County,68.1
Darlington County,66.6
Dillon County,66.8
Dorchester County,67.8
Edgefield County,67.3
Fairfield County,66.3
Florence County,67.4
Georgetown County,66.9
Greenville County,63.1
Greenwood County,66.6
Hampton County,68.2
Horry County,66.2
Jasper County,68.9
Kershaw County,66.2
Lancaster County,65.4
Laurens County,65.5
Lee County,66.6
Lexington County,67
McCormick County,67
Marion County,67.1
Marlboro County,66.8
Newberry County,66.5
Oconee County,62.6
Orangeburg County,67.4
Pickens County,62.9
Richland County,67.4
Saluda County,67
Spartanburg County,63.9
Sumter County,67.5
Union County,65.2
Williamsburg County,67.2
York County,64.8
Aurora County,46.6
Beadle County,46.5
Bennett County,46.3
Bon Homme County,48.3
Brookings County,44.8
Brown County,43.4
Brule County,46.9
Buffalo County,45.4
Butte County,45.2
Campbell County,43.7
Charles Mix County,48.1
Clark County,44.5
Clay County,49
Codington County,43.3
Corson County,44.2
Custer County,44
Davison County,47.4
Day County,42.4
Deuel County,43.8
Dewey County,45.6
Douglas County,47.6
Edmunds County,43.6
Fall River County,46.4
Faulk County,44
Grant County,44.1
Gregory County,47.5
Haakon County,47.8
Hamlin County,44.4
Hand County,44.2
Hanson County,47.8
Harding County,45
Hughes County,45.9
Hutchinson County,48.1
Hyde County,43.3
Jackson County,47.9
Jerauld County,45.2
Jones County,47.8
Kingsbury County,45.8
Lake County,46.2
Lawrence County,40.7
Lincoln County,47.7
Lyman County,47.2
McCook County,47.4
McPherson County,42.4
Marshall County,41.6
Meade County,46.2
Mellette County,47.9
Miner County,47.1
Minnehaha County,47.5
Moody County,46
Oglala Lakota County,46.9
Pennington County,45.1
Perkins County,45
Potter County,43.7
Roberts County,43.5
Sanborn County,47
Spink County,45.4
Stanley County,47.5
Sully County,45
Todd County,46.9
Tripp County,47.7
Turner County,48
Union County,49
Walworth County,43.8
Yankton County,48.8
Ziebach County,46.5
Anderson County,61.6
Bedford County,63.6
Benton County,62.4
Bledsoe County,60.5
Blount County,61.7
Bradley County,61.1
Campbell County,60
Cannon County,61.8
Carroll County,62.3
Carter County,56.8
Cheatham County,63
Chester County,62.6
Claiborne County,59.8
Clay County,60.7
Cocke County,61.3
Coffee County,61.9
Crockett County,63.5
Cumberland County,59.1
Davidson County,62.9
Decatur County,62.8
DeKalb County,61.4
Dickson County,63.1
Dyer County,64.3
Fayette County,64.2
Fentress County,59.4
Franklin County,62.5
Gibson County,62.8
Giles County,64.1
Grainger County,60.8
Greene County,61.3
Grundy County,60.4
Hamblen County,60.9
Hamilton County,62
Hancock County,59.8
Hardeman County,63.7
Hardin County,64
Hawkins County,60.7
Haywood County,63.9
Henderson County,62.2
Henry County,62.3
Hickman County,64
Houston County,62.3
Humphreys County,62.7
Jackson County,61.1
Jefferson County,61.8
Johnson County,55.1
Knox County,62.5
Lake County,63.3
Lauderdale County,64.6
Lawrence County,63.9
Lewis County,64.1
Lincoln County,64
Loudon County,62.6
McMinn County,61.3
McNairy County,63.7
Macon County,60.5
Madison County,62.5
Marion County,62
Marshall County,64.1
Maury County,64.4
Meigs County,61.5
Monroe County,60.9
Montgomery County,62.3
Moore County,63.3
Morgan County,60.1
Obion County,62.9
Overton County,60.5
Perry County,63.2
Pickett County,60.5
Polk County,60.3
Putnam County,60.7
Rhea County,61
Roane County,62.1
Robertson County,61.1
Rutherford County,63.2
Scott County,59.4
Sequatchie County,60.7
Sevier County,59.6
Shelby County,65
Smith County,61.5
Stewart County,61.8
Sullivan County,60
Sumner County,61.1
Tipton County,64.7
Trousdale County,61.5
Unicoi County,57.7
Union County,61
Van Buren County,60.4
Warren County,61.4
Washington County,60.7
Wayne County,63.8
Weakley County,62.8
White County,60.8
Williamson County,63.6
Wilson County,62.2
Anderson County,69.2
Andrews County,67.1
Angelina County,70.9
Aransas County,74.6
Archer County,65.7
Armstrong County,60.3
Atascosa County,74.6
Austin County,72.8
Bailey County,59.4
Bandera County,71.6
Bastrop County,72.4
Baylor County,65.8
Bee County,74.8
Bell County,70.5
Bexar County,73.8
Blanco County,71.2
Borden County,65.3
Bosque County,68.5
Bowie County,67.3
Brazoria County,72.6
Brazos County,72
Brewster County,69.9
Briscoe County,61
Brooks County,77
Brown County,67.4
Burleson County,72.2
Burnet County,70.7
Caldwell County,72.9
Calhoun County,73.9
Callahan County,66.1
Cameron County,77.1
Camp County,67.8
Carson County,59.7
Cass County,68.3
Castro County,59
Chambers County,72.2
Cherokee County,69.6
Childress County,63
Clay County,65.2
Cochran County,61.1
Coke County,69.2
Coleman County,67
Collin County,66.2
Collingsworth County,60.9
Colorado County,72.8
Comal County,72.4
Comanche County,67.7
Concho County,67.8
Cooke County,65.6
Coryell County,69.5
Cottle County,63.9
Crane County,70.8
Crockett County,70.3
Crosby County,63.5
Culberson County,65.4
Dallam County,55.7
Dallas County,67
Dawson County,65
Deaf Smith County,58.1
Delta County,65.2
Denton County,66.6
DeWitt County,73.3
Dickens County,64.1
Dimmit County,79
Donley County,60.4
Duval County,77
Eastland County,66.5
Ector County,68.6
Edwards County,71.1
Ellis County,67.8
El Paso County,65.6
Erath County,68
Falls County,69.6
Fannin County,65.3
Fayette County,72.6
Fisher County,66.6
Floyd County,61
Foard County,64.8
Fort Bend County,73.1
Franklin County,66.6
Freestone County,69.3
Frio County,75.8
Gaines County,65.1
Galveston County,72.6
Garza County,65.5
Gillespie County,70
Glasscock County,69.1
Goliad County,74
Gonzales County,73.4
Gray County,59.7
Grayson County,65.7
Gregg County,69
Grimes County,71.8
Guadalupe County,73.4
Hale County,61
Hall County,62.4
Hamilton County,68.6
Hansford County,59
Hardeman County,63.7
Hardin County,71.4
Harris County,73.2
Harrison County,69.2
Hartley County,57.5
Haskell County,66.5
Hays County,72.1
Hemphill County,59.7
Henderson County,68
Hidalgo County,78
Hill County,68.4
Hockley County,62.3
Hood County,68.1
Hopkins County,65.6
Houston County,70.6
Howard County,67.1
Hudspeth County,64.5
Hunt County,65.8
Hutchinson County,60.6
Irion County,69.5
Jack County,66.2
Jackson County,73.2
Jasper County,70.7
Jeff Davis County,64.1
Jefferson County,71.8
Jim Hogg County,77.6
Jim Wells County,76.5
Johnson County,67.6
Jones County,66.5
Karnes County,74.1
Kaufman County,67
Kendall County,71
Kenedy County,76
Kent County,65.7
Kerr County,70
Kimble County,69.5
King County,65.5
Kinney County,75.3
Kleberg County,76
Knox County,66
Lamar County,64.6
Lamb County,60.3
Lampasas County,69.5
La Salle County,77.4
Lavaca County,72.7
Lee County,72
Leon County,70.1
Liberty County,72.2
Limestone County,69.1
Lipscomb County,58.6
Live Oak County,75.4
Llano County,70.9
Loving County,68.8
Lubbock County,63.7
Lynn County,64.4
McCulloch County,68
McLennan County,68.8
McMullen County,75.8
Madison County,70.8
Marion County,68.7
Martin County,67.5
Mason County,69.7
Matagorda County,73
Maverick County,78.3
Medina County,74.1
Menard County,68
Midland County,69.5
Milam County,71.2
Mills County,68.2
Mitchell County,67.9
Montague County,65.3
Montgomery County,72.3
Moore County,59.2
Morris County,68
Motley County,62.6
Nacogdoches County,70.3
Navarro County,68.7
Newton County,70.8
Nolan County,67
Nueces County,75.8
Ochiltree County,58.9
Oldham County,58.8
Orange County,71.5
Palo Pinto County,67.7
Panola County,69.7
Parker County,67.1
Parmer County,58.6
Pecos County,68.7
Polk County,71.1
Potter County,59.9
Presidio County,68.6
Rains County,65.8
Randall County,59.1
Reagan County,69.7
Real County,71.1
Red River County,65.6
Reeves County,68.5
Refugio County,74.2
Roberts County,60.2
Robertson County,70.7
Rockwall County,66.3
Runnels County,67.5
Rusk County,69.4
Sabine County,70.4
San Augustine County,70.4
San Jacinto County,71.4
San Patricio County,75.1
San Saba County,69
Schleicher County,68.4
Scurry County,66
Shackelford County,66.7
Shelby County,70
Sherman County,57.9
Smith County,68
Somervell County,68.4
Starr County,78.5
Stephens County,67
Sterling County,69.6
Stonewall County,66.2
Sutton County,69.7
Swisher County,59.4
Tarrant County,67.2
Taylor County,66.5
Terrell County,71.6
Terry County,63.8
Throckmorton County,66.6
Titus County,67.4
Tom Green County,69
Travis County,72.1
Trinity County,71
Tyler County,70.8
Upshur County,68.2
Upton County,70.3
Uvalde County,74.6
Val Verde County,74.1
Van Zandt County,66.7
Victoria County,73.5
Walker County,70.9
Waller County,72.9
Ward County,69.9
Washington County,72.4
Webb County,78.7
Wharton County,73
Wheeler County,59.9
Wichita County,64.8
Wilbarger County,64.5
Willacy County,76.6
Williamson County,71.3
Wilson County,74.1
Winkler County,68.8
Wise County,66.2
Wood County,66.7
Yoakum County,63.2
Young County,66.7
Zapata County,78.8
Zavala County,77.6
Beaver County,47.3
Box Elder County,47.3
Cache County,43
Carbon County,43.4
Daggett County,40.4
Davis County,48.8
Duchesne County,40.6
Emery County,50.8
Garfield County,48.1
Grand County,50.7
Iron County,47.9
Juab County,48.5
Kane County,51.4
Millard County,49.2
Morgan County,42.6
Piute County,42.3
Rich County,40.2
Salt Lake County,47.7
San Juan County,52.4
Sanpete County,42.4
Sevier County,43.2
Summit County,36.6
Tooele County,50.2
Uintah County,46.4
Utah County,45.3
Wasatch County,39.2
Washington County,54.7
Wayne County,51.3
Weber County,45.7
Addison County,43.5
Bennington County,42.7
Caledonia County,41.6
Chittenden County,44.4
Essex County,40.2
Franklin County,44
Grand Isle County,45.5
Lamoille County,42
Orange County,42.5
Orleans County,41.2
Rutland County,42.9
Washington County,42.1
Windham County,44
Windsor County,43.5
Accomack County,59.2
Albemarle County,59.9
Alleghany County,57.4
Amelia County,61.3
Amherst County,59.8
Appomattox County,60.6
Arlington County,59.4
Augusta County,57.4
Bath County,56.6
Bedford County,60.3
Bland County,54.3
Botetourt County,59.4
Brunswick County,61.3
Buchanan County,57.4
Buckingham County,61.3
Campbell County,60.8
Caroline County,60.2
Carroll County,55.9
Charles City County,61.8
Charlotte County,61.2
Chesterfield County,61.2
Clarke County,56.2
Craig County,57.2
Culpeper County,58.2
Cumberland County,61.6
Dickenson County,57.5
Dinwiddie County,61.2
Essex County,60.6
Fairfax County,58.9
Fauquier County,57.5
Floyd County,55.6
Fluvanna County,61.4
Franklin County,60.1
Frederick County,54.8
Giles County,55.8
Gloucester County,61.7
Goochland County,61.1
Grayson County,53.7
Greene County,57.8
Greensville County,61.6
Halifax County,61.7
Hanover County,60.8
